score,PR-AUC [95% CI],F1 [95% CI],Recall [95% CI]
ver_max,"0.966 [0.896, 1.000]","0.927 [0.824, 1.000]","0.864 [0.700, 1.000]"
maxpool_mse_101x101,"0.957 [0.892, 0.998]","0.878 [0.750, 0.970]","0.818 [0.647, 0.958]"
maxpool_mse_15x15,"0.905 [0.782, 0.995]","0.872 [0.727, 0.971]","0.773 [0.571, 0.944]"
maxpool_mse_25x25,"0.910 [0.791, 1.000]","0.872 [0.727, 0.971]","0.773 [0.571, 0.944]"
maxpool_mse_35x35,"0.905 [0.786, 1.000]","0.872 [0.727, 0.971]","0.773 [0.571, 0.944]"
maxpool_mse_51x51,"0.889 [0.759, 0.997]","0.872 [0.741, 0.971]","0.773 [0.588, 0.945]"
maxpool_mse_9x9,"0.902 [0.776, 0.994]","0.778 [0.600, 0.905]","0.636 [0.428, 0.826]"
maxpool_mse_5x5,"0.769 [0.597, 0.913]","0.778 [0.600, 0.905]","0.636 [0.428, 0.826]"
maxpool_mse_75x75,"0.871 [0.737, 0.969]","0.743 [0.552, 0.889]","0.591 [0.381, 0.800]"
ver_topk,"0.924 [0.832, 0.994]","0.706 [0.500, 0.857]","0.545 [0.333, 0.750]"
maxpool_mse_3x3,"0.703 [0.514, 0.869]","0.706 [0.500, 0.857]","0.545 [0.333, 0.750]"
global_mse,"0.593 [0.396, 0.775]","0.625 [0.389, 0.800]","0.455 [0.241, 0.667]"
global_mae,"0.324 [0.148, 0.519]","0.429 [0.174, 0.643]","0.273 [0.095, 0.474]"
