dataset,outer_fold,method,score,threshold,pr_auc,f1,precision,recall,tn,fp,fn,tp
broach_dataset,1,one_class_svm_image_features,anomaly_score,15.542348223152745,0.9237043820377154,0.8235294117647058,0.875,0.7777777777777778,990,1,2,7
broach_dataset,1,isolation_forest_image_features,anomaly_score,0.14199325320160505,0.4213600020051633,0.3076923076923077,0.5,0.2222222222222222,989,2,7,2
broach_dataset,1,pca_image_reconstruction,reconstruction_mse,0.0005199362640269101,0.9598765432098765,0.8235294117647058,0.875,0.7777777777777778,990,1,2,7
broach_dataset,2,one_class_svm_image_features,anomaly_score,15.592880169844507,0.9376903960237293,0.8888888888888888,0.8888888888888888,0.8888888888888888,990,1,1,8
broach_dataset,2,isolation_forest_image_features,anomaly_score,0.1257311363627306,0.9079365079365079,0.6956521739130435,0.5714285714285714,0.8888888888888888,985,6,1,8
broach_dataset,2,pca_image_reconstruction,reconstruction_mse,0.0005033609922975302,0.9291747888239116,0.8888888888888888,0.8888888888888888,0.8888888888888888,990,1,1,8
broach_dataset,3,one_class_svm_image_features,anomaly_score,15.496653507218678,0.8269721019721019,0.7272727272727273,0.6153846153846154,0.8888888888888888,986,5,1,8
broach_dataset,3,isolation_forest_image_features,anomaly_score,0.14045923400039928,0.6253367003367003,0.5333333333333333,0.6666666666666666,0.4444444444444444,989,2,5,4
broach_dataset,3,pca_image_reconstruction,reconstruction_mse,0.0005124169401824474,0.9500000000000002,0.8421052631578947,0.8,0.8888888888888888,989,2,1,8
broach_dataset,4,one_class_svm_image_features,anomaly_score,15.604204228523226,0.7591889591889591,0.5,1.0,0.3333333333333333,991,0,6,3
broach_dataset,4,isolation_forest_image_features,anomaly_score,0.14045923400039928,0.8104102476320895,0.7142857142857143,1.0,0.5555555555555556,991,0,4,5
broach_dataset,4,pca_image_reconstruction,reconstruction_mse,0.0006979925092309713,0.9555555555555555,0.6153846153846154,1.0,0.4444444444444444,991,0,5,4
broach_dataset,5,one_class_svm_image_features,anomaly_score,15.44293839648559,0.9432098765432099,0.8421052631578947,0.8,0.8888888888888888,989,2,1,8
broach_dataset,5,isolation_forest_image_features,anomaly_score,0.1257311363627306,0.767826617826618,0.6,0.5454545454545454,0.6666666666666666,986,5,3,6
broach_dataset,5,pca_image_reconstruction,reconstruction_mse,0.0005124169401824474,0.8064251207729469,0.875,1.0,0.7777777777777778,991,0,2,7
